T001|100001|系统|存款|5000.00|2025-04-01 10:25:30|成功
T002|100001|100002|转账|2000.00|2025-04-05 14:12:18|成功
T003|100001|系统|取款|1500.00|2025-04-10 09:05:45|成功
T004|100002|100004|转账|8000.00|2025-04-12 16:30:22|失败
T005|100002|系统|存款|10000.00|2025-04-15 11:40:10|成功
T006|100003|系统|存款|20000.00|2025-05-01 08:00:00|成功
T007|100003|100001|转账|5000.00|2025-05-02 12:00:00|成功
T008|100004|100002|转账|3000.00|2025-05-03 15:30:00|成功
T1781102954836|202418440201|系统|存款|100.0|2026-06-10 22:49:14|成功|
T1781102996180|202418440201|系统|取款|50.0|2026-06-10 22:49:56|成功|
T1781102996344|202418440201|202418440202|转账|25.0|2026-06-10 22:49:56|成功|
